tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_natrduqtkc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707771478000,False,False,r_dmvka38vu8,24548,Big Dick's Salty Seaman LLC,,Clothing Boutique,False
bo_65tzdr9ze3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707577457000,False,False,r_dmvka38vu8,42298,Big Dick's Salty Seaman LLC,,Clothing Boutique,False
bo_8jb4w9qmmt,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1706548473000,True,True,r_ovvl42fxrh,0,Fugates Inc,,Clothing Boutique,False
bo_yhp38ffg2t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706278773000,True,True,r_yzwad5fb3v,20810,Tux & Stuff,https://tuxandstuff727.wixsite.com/tuxandstuff,Clothing Boutique,False
bo_jmht3um575,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706202923000,True,True,r_g757an2p2c,15323,Emily Kaye Bridal,http://emilykayebridal.com/,Clothing Boutique,False
bo_ywf6ucfm6v,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706069974000,True,True,r_24j4xxggrs,11450,Littles,,Kids or Toy Store,False
bo_hsa6fdjjmc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706043946000,False,False,r_2d33b7kr,12450,Not so Shabby Gifts,,Clothing Boutique,True
bo_qzbf3u55gw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706037182000,False,False,r_amkvzx3d,41335,Eureka Clothing Company,http://facebook.com/eurekaclothingcompany,Clothing Boutique,True
bo_exjztxgqmj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706033582000,False,False,r_c6j2c3jcnj,32209,Dd's Closet,https://maps.google.com/?cid=4678647216065722985,Clothing Boutique,False
bo_39jmmvhy47,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705932787000,True,True,r_wc6rnymjgn,11450,MAD Styles,https://www.themadstyles.com/,Clothing Boutique,False
bo_93vz4gpg5c,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1705903687000,True,True,r_9immfion,59741,A & A village treasures,http://aavillagetreasures.com/,,False
bo_ped7bge9jc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705812787000,True,True,r_465flmrwjl,12837,St. Michael's Mens Apparel,http://StMichaelsMensApparel.com,Clothing Boutique,False
bo_56sg6h6peb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705549294000,True,True,r_c6j2c3jcnj,33637,Dd's Closet,https://maps.google.com/?cid=4678647216065722985,Clothing Boutique,False
bo_dh5dhs8y4x,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1705447160000,False,False,r_dmvka38vu8,81895,Big Dick's Salty Seaman LLC,,Clothing Boutique,False
bo_mvyedacqdy,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1705423180000,True,True,r_g757an2p2c,0,Emily Kaye Bridal,http://emilykayebridal.com/,Clothing Boutique,False
bo_aq6znu329y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705189791000,True,True,r_rdveq4kcfc,17459,Troutman's Dry Goods Store,http://troutmansdrygoods.com/,,False
bo_9dg3m78khy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704990755000,True,True,r_bjh8mb84ue,12837,The Stitching Heifers,http://www.facebook.com/thestitchingheifers,Clothing Boutique,False
bo_hxdmxwmc3f,REPLACE_DAMAGED_OR_MISSING_ITEMS,CANCELED,CANCELED,MARKETPLACE,1704913997000,False,False,r_1g6zjos83y,0,Amazing Lace,,,True
bo_mekxfufqcm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704413200000,True,True,r_zgry3x8fzz,12837,Jasper County Lumber Co.,https://maps.google.com/?cid=14419473912292850571,Clothing Boutique,False
bo_dfgrv9mzxe,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1703964611000,True,True,r_dmvka38vu8,45029,Big Dick's Salty Seaman LLC,,Clothing Boutique,False
bo_4cwenh6qw8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1703173666000,False,False,r_1g6zjos83y,25551,Amazing Lace,,,True
bo_8w4vccjdtr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702598899000,True,True,r_8n1d2bbo0g,19406,Better With Bubbli,http://betterwithbubbli.com/,Clothing Boutique,False
bo_rtbtkrzmap,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702583299000,False,False,r_1g6zjos83y,38361,Amazing Lace,,,True
bo_gvxacgcufm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702579099000,True,True,r_vu1kr4sqfi,19406,Marlowe Boutique,https://www.instagram.com/shopmarloweboutique/?hl=en,Clothing Boutique,False
bo_m8h33pmj3c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702503236000,False,False,r_1iceu5ajuf,77556,Charisma,,Clothing Boutique,False
bo_u5p2jrvcaj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1702064956000,True,True,r_f3xwm2hqer,17142,Glitz Glam and Rebellion,http://glitzglamandrebellion.com/,Clothing Boutique,False
bo_gdgxs7jwqt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701714833000,False,False,r_1g6zjos83y,27218,Amazing Lace,,,True
bo_z3uvztjt4y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701534401000,False,False,r_62i6i0hp,15659,Bridge Street Exchange,http://www.bridgestreetexchange.com,Clothing Boutique,False
bo_tpskpng3e5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701353294000,True,True,r_pxc711toka,25599,Walt's Market,http://www.waltsmarketnd.com,Home Decor Store,False
bo_rgbktxv6gd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701310774000,True,True,r_5rjrtur07d,32481,Rose Ink Boutique,https://roseinkboutique.com,Clothing Boutique,False
bo_y9sev8dbcj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701267951000,True,True,r_72ezhkm3pw,11773,Pinup Pixie Boutique,http://www.pinuppixieboutique.com/,Clothing Boutique,False
bo_j2ntg9whck,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701185427000,True,True,r_58vw7f0gux,14250,Brown's Accents,http://www.brownsaccentscandles.com,Clothing Boutique,False
bo_78tpbamgq3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701028158000,True,True,r_1iceu5ajuf,46116,Charisma,,Clothing Boutique,False
bo_wkqqgyx6qv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1701013758000,True,True,r_62i6i0hp,26216,Bridge Street Exchange,http://www.bridgestreetexchange.com,Clothing Boutique,False
bo_crdadbzk55,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700960958000,True,True,r_atdwjddxrt,11685,1809 Evergreen,,Clothing Boutique,False
bo_4mccm6h5bf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700947758000,True,True,r_12eedtcy61,39677,Dolores Outfitters,http://www.doloresoutfitters.com,,False
bo_hj9mss5snc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1700935458000,True,True,r_e8xspbr4sg,45201,Neesh,http://neesh-wear.com,Clothing Boutique,False
bo_deyhyske8f,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700804158000,True,True,r_a8kabiyn,25191,"Savvy Parke Purcell,Ok",,Gift Store,False
