tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_rmggb58dqa,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1684765396000,False,False,r_880co51t8d,28400
bo_9ndwsvju96,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684683496000,False,False,r_912i88fl,100030
bo_cdnwnxzcbt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684626796000,False,False,r_csrbbexw,32350
bo_emxg5e9drs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684614496000,True,True,r_9pkaway3tt,54375
bo_kz5u7y9ryp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684531096000,False,False,r_4t1hzar3ku,32760
bo_e2zx2bk37b,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1684439465000,False,False,r_8j2bygnfa1,91500
bo_mqnw7jr38w,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684427465000,False,False,r_19p4t7wi4o,22125
bo_bxyfyjvpt3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1684419860000,False,False,r_3nv37nmo,72500
bo_2hu3bmy75u,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684347130000,True,True,r_9cvcynnv,26550
bo_kzbtn4eu5u,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684262384000,False,False,r_38ixhpypr4,23655
bo_kkz29kdaqj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684248884000,True,True,r_8sap366cek,29088
bo_agyu6wk4th,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684167084000,False,False,r_4jtzhvk1q2,63160
bo_knumjd22v5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684161384000,True,True,r_avs6xbk2kk,20775
bo_zcyb7b2cc6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684126584000,True,True,r_pqx160c2,159688
bo_endpmse27n,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1684126584000,True,True,r_pqx160c2,13750
bo_mf83nk6x5c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1684103184000,False,False,r_avwg5qqznp,24260
bo_w9kw9d7qch,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1684080984000,False,False,r_880co51t8d,24100
bo_e9h3gnv95e,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1684007484000,False,False,r_64oq6mwmyx,27800
bo_cwns8ynq8e,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1683988284000,False,False,r_eq8nhu3o,51250
bo_ce4bbh96r2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683939084000,False,False,r_38ixhpypr4,40645
bo_v9y4g3xx83,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683907938000,False,False,r_912i88fl,62980
bo_23p27nkrd9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1683834138000,True,True,r_axe46agsu6,28000
bo_gfbe2u5qry,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1683747477000,False,False,r_bxqq9uo64f,25500
bo_fnfsjt84vy,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1683741804000,False,False,r_cq71nragib,39000
bo_chn7dvtsqs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683650481000,False,False,r_1bgyzkmpwd,21795
bo_62xd7raynv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683515116000,False,False,r_9mx0zrd98p,27875
bo_8jcvs7u36k,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683426916000,False,False,r_e389w2k125,26950
bo_572c7tmegr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683406816000,False,False,r_3az2qhjjh9,28000
bo_43h8h2fg7f,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683322216000,False,False,r_ha5kv3tt54,28000
bo_v8wetqzzhj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683319216000,False,False,r_9eede887wk,25920
bo_aeqsrdrbra,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1683318616000,False,False,r_6aj79drtph,26600
bo_eb6hdn3qs2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683233538000,False,False,r_912i88fl,27500
bo_cv3z7mxkxc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1683229038000,False,False,r_eykjt8ep6s,49000
bo_tu36ezdcek,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683218838000,True,True,r_edtqa98crb,66000
bo_7b9x2pvua2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683211365000,True,True,r_6eerzzt2nx,55888
bo_5tfuppvfuy,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1683059769000,True,True,r_2j5pgmhw,4762
bo_4cvpajh4je,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682958007000,False,False,r_4jh3qrc2em,21125
bo_kqrv8qdvsq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1682804375000,False,False,r_8j2bygnfa1,28750
bo_3tfreevwu2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682785775000,False,False,r_4usbuw9m,27065
bo_62n76ns2hk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682731475000,True,True,r_cv8gwzkonv,18700
bo_43q3g4tadv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682715875000,False,False,r_bzwbtlo2va,38700
bo_duqeajk4fn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682712875000,True,True,r_72fu2d14,25450
bo_re735tbm7b,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1682618193000,False,False,r_jqwmx147,90000
bo_4ccgakv4yk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682560309000,True,True,r_dz44p8o216,30100
