tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_gwkwr8bp7z,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715303838000,False,False,r_vnu78jpcw3,33698,Cordova's,http://www.reaoluteboutique.com/,Clothing Boutique,False
bo_j6m4s799qh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715261017000,True,True,r_226k32fkur,12427,Holistic Magnolia,http://holisticmagnolia.com/,,False
bo_74jvx2ayru,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715201317000,False,False,r_kzwkw3bq5v,18609,Rooted in Beauty,,Spa or Beauty Store,False
bo_pgeht46jzc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715191266000,False,False,r_78fbubp3y3,9193,Sister Collective/Rise Nutrition,https://m.facebook.com/risenutrition22/,,False
bo_uwrhmt36cs,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715178579000,False,False,r_934yxcrr7q,11002,Smile Sciences,https://smilesciences.com/,,False
bo_8ffd7nh34m,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715135079000,False,False,r_6q3alr8uj6,9768,abl hair,http://Www.ablhair.com,Spa or Beauty Store,False
bo_6dmpnn8bwc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715092497000,True,True,r_k4uynuvuey,13003,Serenity Salon,http://www.serenityoncamano.com/,Spa or Beauty Store,False
bo_hbya74tmha,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715057397000,False,False,r_346fvycs4n,52763,R&E International Trading LLC,https://www.facebook.com/ecshopping222,General or Mercantile Store,True
bo_jxawrapu4q,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715020961000,True,False,r_8z3vezmvv5,34766,Everyday Magick Salon,http://www.everydaymagicksalon.com/,Spa or Beauty Store,True
bo_nhtrut4hf2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715019461000,True,True,r_8z3vezmvv5,54096,Everyday Magick Salon,http://www.everydaymagicksalon.com/,Spa or Beauty Store,True
bo_8g5sd2bted,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715015583000,False,False,r_ip8c263107,10506,Golden Harvest,http://goldenharvestmarket.com/,,False
bo_9djzwtcwk7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1714946283000,False,False,r_bfcggjsun6,17734,Remedy Garden,https://remedygarden.com/,Spa or Beauty Store,True
bo_34dn4cdj3d,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1714917183000,True,True,r_14q1v0ef90,14532,Sass Resale Boutique,https://www.shopsassresale.com/,Clothing Boutique,False
bo_5t769ay77c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1714750654000,True,True,r_zudat2d2x8,12481,Welcome to my spot LLC,https://welcometomyspot.myshopify.com/?_ab=0&_fd=0&_sc=1,Clothing Boutique,False
bo_exjymr5ttg,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1714748854000,False,False,r_nhjnub2fzn,36102,Harmony Salon,https://harmonysalonhelena.com/,Spa or Beauty Store,True
bo_yfk7q444j8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1714722754000,True,True,r_7qyxtzzql5,41848,Studio Buus,http://www.studiobuus.dk,Clothing Boutique,False
